ISCN_header,type,unit
ISCN 1-1 (2015-12-10),study,NA
dataset_name_sub,study,NA
dataset_name_soc,study,NA
lat (dec. deg),field,deg
long (dec. deg),field,deg
datum (datum),study,NA
state (state_province),field,NA
country (country),field,NA
site_name,field,NA
observation_date (YYYY-MM-DD),field,YYYY-MM-DD
profile_name,field,NA
layer_name,field,NA
layer_top (cm),field,cm
layer_bot (cm),field,cm
hzn_desgn_other,field,NA
hzn,field,NA
hzn_desgn,field,NA
layer_note,field,NA
color,field,NA
vegclass_local,field,NA
soil_taxon,field,NA
soil_series,field,NA
bd_method,vocabulary,NA
bd_samp (g cm-3),measurement,g cm^-3
bd_tot (g cm-3),measurement,g cm^-3
bd_whole (g cm-3),measurement,g cm^-3
bd_other (g cm-3),measurement,g cm^-3
bdNRCS_prep_code,vocabulary,NA
cNRCS_prep_code,vocabulary,NA
c_method,vocabulary,NA
c_tot (percent),measurement,percent
oc (percent),measurement,percent
loi (percent),measurement,percent
n_tot (percent),measurement,percent
c_to_n (mass ratio),measurement,ratio
soc (g cm-2),measurement,g cm^-2
soc_carbon_flag,vocabulary,NA
soc_method,vocabulary,NA
ph_method,vocabulary,NA
ph_cacl,measurement,NA
ph_h2o,measurement,NA
ph_other,measurement,NA
caco3 (percent),measurement,percent
sand_tot_psa (percent),measurement,percent
silt_tot_psa (percent),measurement,percent
clay_tot_psa (percent),measurement,percent
wpg2_method,vocabulary,NA
wpg2 (percent),vocabulary,percent
cat_exch (cmol H+ kg-1),measurement,cmol H+ kg^-1
al_dith (specified by al_fe_units),measurement,(see al_fe_units)
al_ox (specified by al_fe_units),measurement,(see al_fe_units)
al_other (specified by al_fe_units),measurement,(see al_fe_units)
fe_dith (specified by al_fe_units),measurement,(see al_fe_units)
fe_ox (specified by al_fe_units),measurement,(see al_fe_units)
fe_other (specified by al_fe_units),measurement,(see al_fe_units)
mn_dith (specified by al_fe_units),measurement,(see al_fe_units)
mn_ox (specified by al_fe_units),measurement,(see al_fe_units)
mn_other (specified by al_fe_units),measurement,(see al_fe_units)
al_fe_units (extract_units),vocabulary,NA
al_fe_method,vocabulary,NA
ca_al (specified by bc_units),,
ca_ext (specified by bc_units),,
k_ext (specified by bc_units),,
mg_ext (specified by bc_units),,
na_ext (specified by bc_units),,
bc_units (extract_units),,
bc_method,,
base_sum (specified by cec_h_units),,
cec_sum (specified by cec_h_units),,
ecec (specified by cec_h_units),,
cec_h_units (extract_units),,
bs (percent),,
bs_sum (percent),,
h_ext (specified by metal_ext_units),,
zn_ext (specified by metal_ext_units),,
metal_ext_units (extract_units),,
metal_ext_method,,
p_bray (specified by p_units),,
p_ox (specified by p_units),,
p_meh (specified by p_units),,
p_other (specified by p_units),,
p_units (extract_units),,
p_method,,
root_quant_size,,
root_weight (g),,
15n (‰),,
13c (‰),,
14c (‰),,
14c_sigma (‰),,
14c_age (BP),,
14c_age_sigma (BP),,
fraction_modern,,
fraction_modern_sigma,,
textureClass,,
locator_parent_alias,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
