METADATA,,,,DATA,,,,,,,,,,,,14C,,,,,,
site_name,Hongyuan,,,depth,age_Loisel_et_al_2014,bulk_density_g_cm-3,org_mat_%,org_mat_density_g_OM_cm-3,C_content_%,N_content_%,org_C_density_g_C_cm-3,peat_type,peat_type_Loisel_et_al_2014,,,date_type,depth_cm,thickness_cm,uncal_date_BP,lab_uncertainty_yrs,material,labe_code
,,,,550.75,9363.6,0.047,,,42.0,,0.020,,,,,,,,,,,
,,,,553.75,9429.2,0.047,79.8,0.038,44.2,,0.021,,,,,,,,,,,
,,,,558,9538.4,0.051,79.4,0.040,43.9,,0.022,,,,,,,,,,,
,,,,568,9756.8,0.059,80.1,0.047,44.1,,0.026,,,,,,,,,,,
,,,,571.5,9822.3,0.055,,,42.1,,0.023,,,,,,,,,,,
,,,,572.5,9844.1,0.066,84.1,0.056,46.7,,0.031,,,,,,,,,,,
,,,,576.5,9931.5,0.061,,,47.5,,0.029,,,,,,,,,,,
,,,,577.5,9953.4,0.050,,,44.3,,0.022,,,,,,,,,,,
,,,,582.5,10062.6,0.046,,,45.5,,0.021,,,,,,,,,,,
,,,,587.5,10171.8,0.046,81.0,0.037,45.3,,0.021,,,,,,,,,,,
,,,,592.5,10281.0,0.041,81.7,0.033,44.1,,0.018,,,,,,,,,,,
,,,,597.5,10390.2,0.043,82.5,0.035,49.1,,0.021,,,,,,,,,,,
,,,,602.5,10499.4,0.040,81.8,0.033,45.5,,0.018,,,,,,,,,,,
,,,,607.5,10608.6,0.041,85.9,0.035,45.7,,,,,,,,,,,,,
,,,,612.5,10717.8,0.047,80.8,0.038,47.2,,,,,,,,,,,,,
,,,,617.5,10827.0,0.040,82.4,0.033,44.9,,,,,,,,,,,,,
