METADATA,,,,DATA,,,,,,,,,14C,,,,,,,,,
site_name,Aero,,,depth,age_Loisel_et_al_2014,bulk_density_g_cm-3,org_mat_%,org_mat_density_g_OM_cm-3,C_content_%,N_content_%,org_C_density_g_C_cm-3,peat_type,peat_type_Loisel_et_al_2014,,,date_type,depth_cm,thickness_cm,uncal_date_BP,lab_uncertainty_yrs,material,labe_code
,,,,58.5,2423.769231,0.120,97.1,0.117,,,0.057,,,,,,,,,,,
,,,,59.5,2467.576923,0.130,97.5,0.127,,,0.062,,,,,,,,,,,
,,,,60.5,2511.384615,0.122,97.4,0.119,,,0.058,,,,,,,,,,,
,,,,61.5,2555.192308,0.118,97.0,0.115,,,0.056,,,,,,,,,,,
,,,,62.5,2599,0.127,96.9,0.123,,,0.060,,,,,,,,,,,
,,,,63.5,2671.96875,0.126,96.3,0.121,,,0.059,,,,,,,,,,,
,,,,64.5,2744.9375,0.124,95.9,0.119,,,0.058,,,,,,,,,,,
,,,,65.5,2817.90625,0.111,96.3,0.107,,,0.052,,,,,,,,,,,
,,,,66.5,2890.875,0.103,96.6,0.099,,,0.049,,,,,,,,,,,
,,,,67.5,2963.84375,0.095,96.6,0.092,,,0.045,,,,,,,,,,,
,,,,68.5,3036.8125,0.091,96.7,0.088,,,0.043,,,,,,,,,,,
,,,,69.5,3109.78125,0.100,96.3,0.096,,,0.047,,,,,,,,,,,
,,,,70.5,3182.75,0.097,96.3,0.093,,,0.046,,,,,,,,,,,
,,,,71.5,3255.71875,0.093,96.1,0.090,,,0.044,,,,,,,,,,,
,,,,72.5,3328.6875,0.089,96.3,0.086,,,0.042,,,,,,,,,,,
,,,,73.5,3401.65625,0.106,95.4,0.101,,,0.049,,,,,,,,,,,
,,,,74.5,3474.625,0.099,96.0,0.096,,,0.047,,,,,,,,,,,
,,,,75.5,3547.59375,0.113,94.8,0.107,,,0.053,,,,,,,,,,,
,,,,76.5,3620.5625,0.096,94.8,0.091,,,0.044,,,,,,,,,,,
,,,,77.5,3693.53125,0.092,95.5,0.088,,,0.043,,,,,,,,,,,
,,,,78.5,3766.5,0.114,94.4,0.108,,,0.053,,,,,,,,,,,
,,,,79.5,3849.058824,0.103,94.3,0.097,,,0.048,,,,,,,,,,,
,,,,80.5,3931.617647,0.096,95.0,0.091,,,0.045,,,,,,,,,,,
,,,,81.5,4014.176471,0.096,94.7,0.091,,,0.045,,,,,,,,,,,
,,,,82.5,4096.735294,0.109,94.7,0.103,,,0.050,,,,,,,,,,,
,,,,83.5,4179.294118,0.113,94.6,0.107,,,0.052,,,,,,,,,,,
,,,,84.5,4261.852941,0.120,95.0,0.114,,,0.056,,,,,,,,,,,
,,,,85.5,4344.411765,0.137,95.8,0.131,,,0.064,,,,,,,,,,,
,,,,86.5,4426.970588,0.114,95.8,0.109,,,0.054,,,,,,,,,,,
,,,,87.5,4509.529412,0.116,95.7,0.111,,,0.054,,,,,,,,,,,
,,,,88.5,4592.088235,0.124,95.8,0.118,,,0.058,,,,,,,,,,,
,,,,89.5,4674.647059,0.102,95.6,0.098,,,0.048,,,,,,,,,,,
,,,,90.5,4757.205882,0.131,95.1,0.124,,,0.061,,,,,,,,,,,
,,,,91.5,4839.764706,0.101,95.5,0.096,,,0.047,,,,,,,,,,,
,,,,92.5,4922.323529,0.100,95.2,0.095,,,0.047,,,,,,,,,,,
,,,,93.5,5004.882353,0.102,95.1,0.097,,,0.048,,,,,,,,,,,
,,,,94.5,5087.441176,0.094,94.5,0.089,,,0.044,,,,,,,,,,,
,,,,95.5,5170,0.104,94.9,0.098,,,0.048,,,,,,,,,,,
,,,,96.5,5192.464286,0.117,94.8,0.111,,,0.054,,,,,,,,,,,
,,,,97.5,5214.928571,0.108,94.6,0.102,,,0.050,,,,,,,,,,,
,,,,98.5,5237.392857,0.106,94.2,0.100,,,0.049,,,,,,,,,,,
,,,,99.5,5259.857143,0.095,94.8,0.090,,,0.044,,,,,,,,,,,
,,,,100.5,5282.321429,0.097,92.4,0.090,,,0.044,,,,,,,,,,,
,,,,101.5,5304.785714,0.116,92.3,0.107,,,0.053,,,,,,,,,,,
,,,,102.5,5327.25,0.134,94.3,0.126,,,0.062,,,,,,,,,,,
,,,,103.5,5349.714286,0.117,93.2,0.109,,,0.054,,,,,,,,,,,
,,,,104.5,5372.178571,0.120,92.2,0.111,,,0.054,,,,,,,,,,,
,,,,105.5,5394.642857,0.128,92.0,0.117,,,0.057,,,,,,,,,,,
,,,,106.5,5417.107143,0.131,92.2,0.121,,,0.059,,,,,,,,,,,
,,,,107.5,5439.571429,0.123,92.9,0.115,,,0.056,,,,,,,,,,,
,,,,108.5,5462.035714,0.107,93.3,0.100,,,0.049,,,,,,,,,,,
,,,,109.5,5484.5,0.113,93.7,0.105,,,0.052,,,,,,,,,,,
