header,headerLong,var,flagID,dataframe,class,softTime,hardValue,hardSigma,hardUnit,hardMethod
raw_mbc,Raw Value - mgC/g,mbc,,sample,numeric,method,,,,
reported_mbc,Reported Value After Transformation - mgC/g,mbc,,sample,character,value,,,mgC/g,
p_ext ,Extractable Phosphorus - ,p,,sample,numeric,value,,,,
p_units ,Specify Units For P Data - ,p,,sample,factor,unit,,,,
p_method,Specify Method For P - ,p,,sample,character,method,,,,
fe_py,Pyrophosphate Extractable Fe - mg/g,fe_py,,sample,numeric,value,,,mg/g,
al_py,Pyrophosphate Extractable Al - mg/g,al_py,,sample,numeric,value,,,mg/g,
si_py,Pyrophosphate Extractable Si - mg/g,si_py,,sample,numeric,value,,,mg/g,
c_py,Pyrophosphate Extractable C - mg/g,c_py,,sample,numeric,value,,,mg/g,
py_notes,"Pyrophosphate Notes: Concentration, Extraction Time, Sequential or Parallel  - ",_py$,,sample,character,method,,,,
fe_ox,Oxalate Extractable Fe - mg/g,fe_ox,,sample,numeric,value,,,mg/g,
al_ox,Oxalate Extractable Al - mg/g,al_ox,,sample,numeric,value,,,mg/g,
si_ox,Oxalate Extractable Si - mg/g,si_ox,,sample,numeric,value,,,mg/g,
c_ox,Oxalate Extractable C - mg/g,c_ox,,sample,numeric,value,,,mg/g,
ox_notes,"Oxalate Notes: Concentration, Extraction Time, Sequential or Parallel  - ",_ox$,,sample,character,method,,,,
fe_hy,Hydroxylamine Extractable Fe - mg/g,fe_hy,,sample,numeric,value,,,mg/g,
al_hy,Hydroxylamine Extractable Al - mg/g,al_hy,,sample,numeric,value,,,mg/g,
si_hy,Hydroxylamine Extractable Si - mg/g,si_hy,,sample,numeric,value,,,mg/g,
c_hy,Hydroxylamine Extractable C - mg/g,c_hy,,sample,numeric,value,,,mg/g,
hy_notes,"Hydroxylamine Notes: Concentration, Extraction Time, Sequential or Parallel  - mg/g",_hy$,,sample,character,method,,,mg/g,
fe_dith,Dithionite Extractable Fe - mg/g,fe_dith,,sample,numeric,value,,,mg/g,
al_dith,Dithionite Extractable Al - mg/g,al_dith,,sample,numeric,value,,,mg/g,
si_dith,Dithionite Extractable Si - mg/g,si_dith,,sample,numeric,value,,,mg/g,
dith_notes,"Dithionite Notes: Concentration, Extraction Time, Sequential or Parallel  - mg/g",_dith$,,sample,character,method,,,,
quartz,Quartz Abundance - percent or +/++/+++,quartz,,sample,character,value,,,percent or +/++/+++,
alkali_feldspar,Alkali Feldspar Abundance - percent or +/++/+++,alkali_feldspar,,sample,character,value,,,percent or +/++/+++,
plag_feldspar,Plagioclase Feldspar Abundance - percent or +/++/+++,plag_feldspar,,sample,character,value,,,percent or +/++/+++,
mica_chlorite,Mica + Chlorite Abundance - percent or +/++/+++,mica_chlorite,,sample,character,value,,,percent or +/++/+++,
amphibole,Amphibole (Hornblende) - percent or +/++/+++,amphibole,,sample,character,value,,,percent or +/++/+++,
pyroxine ,Enstatite + Augite + Diopside - percent or +/++/+++,pyroxine ,,sample,character,value,,,percent or +/++/+++,
olivine,Olivine Abundance - percent or +/++/+++,olivine,,sample,character,value,,,percent or +/++/+++,
volc_glass,Volcanic Glass Abundance - percent or +/++/+++,volc_glass,,sample,character,value,,,percent or +/++/+++,
kaol_halloy,Kaolinite + Halloysite - percent or +/++/+++,kaol_halloy,,sample,character,value,,,percent or +/++/+++,
smect_vermic,Smectite (Montmorillonite) + Vermincullite  - percent or +/++/+++,smect_vermic,,sample,character,value,,,percent or +/++/+++,
gibbsite,Gibbsite Abundance - percent or +/++/+++,gibbsite,,sample,character,value,,,percent or +/++/+++,
fe_oxides,Goethite + Hematite + Magnetite + Lepidocrocite - percent or +/++/+++,fe_oxides,,sample,character,value,,,percent or +/++/+++,
imog_alloph,Imogolite + Allophane - percent or +/++/+++,imog_alloph,,sample,character,value,,,percent or +/++/+++,
ferrihydrite,Ferrihydrite Abundance - percent or +/++/+++,ferrihydrite,,sample,character,value,,,percent or +/++/+++,
fraction_name,Fraction Sample Name - ,fraction_name,treatment_id,treatment,character,,,,,
f_scheme,Fractionation Scheme - (f_scheme),f_scheme,,treatment,character,,,,,
f_property,Fraction Property - (f_property),f_property,,treatment,character,,,,,
f_scheme_units,Fractionation Scheme Units - (f_scheme_units),f_scheme_units,,treatment,character,,,,,
f_lower,"Lower Cutoff Numerical (e.g., density, diameter, days, etc.) - ",f_lower,,treatment,character,,,,,
f_upper,"Upper Cutoff Numerical (e.g., density, diameter, days, etc.) - ",f_upper,,treatment,character,,,,,
f_scheme_conc,Concentration of Extractant - moles,f_scheme_conc,,treatment,character,,,,moles,
f_seq,Sequential Fractionation? - Yes or Blank,f_seq,,treatment,character,,,,Yes or Blank,
f_seq_order,Numerical Ordering of Fractions From the Same Sequence - ,f_seq_order,,treatment,character,,,,,
f_comp,Was Fraction a Composite? - Yes or Blank,f_comp,,treatment,character,,,,Yes or Blank,
f_note,Fraction Notes - ,f_note,,treatment,character,,,,,
f_c_perc,Fraction Proportion of Sample Carbon - percent,c_perc,,sample,numeric,value,,,percent,
f_mass_perc,Fraction Proportion of Sample Mass - percent,mass_perc,,sample,numeric,value,,,percent,
f_c_tot,Fraction Total Carbon - percent,c_tot,,sample,numeric,value,,,percent,
f_oc,Fraction Organic Carbon - percent,oc,,sample,numeric,value,,,percent,
f_n_tot,Fraction Total Nitrogen - percent,n_tot,,sample,numeric,value,,,percent,
f_c_to_n,"Fraction 
C:N - ",c_to_n,,sample,numeric,value,,,unitless,
f_15n,Fraction δ15N - permil,15n,,sample,numeric,value,,,permil,
f_13c,Fraction δ13C - permil,13c,,sample,numeric,value,,,permil,
f_rc_lab,Radiocarbon Laboratory ID - ,(15n)|(13c)|(14c)|(fraction_modern),,sample,character,method,,,,
f_rc_lab_number,Radiocarbon Laboratory Sample Number - ,(15n)|(13c)|(14c)|(fraction_modern),,sample,character,method,,,,
f_rc_year,Radiocarbon Analysis Year - YYYY,(15n)|(13c)|(14c)|(fraction_modern),,sample,character,method,,,YYYY,
f_14c,Fraction Δ14C - permil,14c,,sample,numeric,value,,,permil,
f_14c_sigma,Fraction Δ14C Standard Deviation - permil,14c,,sample,numeric,sigma,,,permil,
f_fraction_modern,Fraction Fraction Modern - ,fraction_modern,,sample,numeric,value,,,,
f_fraction_modern_sigma,Fraction Fraction Modern Standard Deviation - ,fraction_modern,,sample,numeric,sigma,,,,
f_quartz,Quartz Abundance - percent or +/++/+++,quartz,,sample,character,value,,,percent or +/++/+++,
f_alkali_feldspar,Alkali Feldspar Abundance - percent or +/++/+++,alkali_feldspar,,sample,character,value,,,percent or +/++/+++,
f_plag_feldspar,Plagioclase Feldspar Abundance - percent or +/++/+++,plag_feldspar,,sample,character,value,,,percent or +/++/+++,
f_mica_chlorite,Mica + Chlorite - percent or +/++/+++,mica_chlorite,,sample,character,value,,,percent or +/++/+++,
f_amphibole,Amphibole (Hornblende) - percent or +/++/+++,amphibole,,sample,character,value,,,percent or +/++/+++,
f_pyroxine ,Enstatite + Augite + Diopside - percent or +/++/+++,pyroxine ,,sample,character,value,,,percent or +/++/+++,
f_olivine,Olivine Abundance - percent or +/++/+++,olivine,,sample,character,value,,,percent or +/++/+++,
f_volc_glass,Volcanic Glass Abundance - percent or +/++/+++,volc_glass,,sample,character,value,,,percent or +/++/+++,
f_kaol_halloy,Kaolinite + Halloysite - percent or +/++/+++,kaol_halloy,,sample,character,value,,,percent or +/++/+++,
f_smect_vermic,Smectite (Montmorillonite) + Vermincullite  - percent or +/++/+++,smect_vermic,,sample,character,value,,,percent or +/++/+++,
f_gibbsite,Gibbsite Abundance - percent or +/++/+++,gibbsite,,sample,character,value,,,percent or +/++/+++,
f_fe_oxides,Goethite + Hematite + Magnetite + Lepidocrocite - percent or +/++/+++,fe_oxides,,sample,character,value,,,percent or +/++/+++,
f_imog_alloph,Imogolite + Allophane - percent or +/++/+++,imog_alloph,,sample,character,value,,,percent or +/++/+++,
f_ferrihydrite,Ferrihydrite Abundance - percent or +/++/+++,ferrihydrite,,sample,character,value,,,percent or +/++/+++,
